#{"t_start": 1775617342.4395812, "env_id": "None"}
r,l,t
-0.022588,100,125.297851
-0.022709,100,125.541439
-0.02588,100,125.760504
-0.025811,100,126.027937
-0.023177,100,126.285806
-0.016694,100,126.511281
-0.023592,100,126.719682
-0.020134,100,127.667279
-0.017874,100,127.902049
-0.021637,100,128.17295
-0.022013,100,128.40587
-0.024011,100,128.652546
-0.02019,100,128.867933
-0.020975,100,129.079778
-0.026043,100,129.296232
-0.017745,100,131.897467
-0.020674,100,132.09102
-0.021052,100,132.280125
-0.023313,100,132.46468
-0.022169,100,132.667678
-0.018957,100,132.902382
-0.021257,100,133.155585
-0.023568,100,133.338963
-0.018963,100,133.522921
-0.018102,100,133.703818
-0.018529,100,133.887931
-0.018926,100,134.066141
-0.025292,100,134.770397
-0.023084,100,134.95712
-0.020815,100,135.144661
-0.020955,100,135.335109
-0.019387,100,135.522432
-0.019041,100,135.71367
-0.018449,100,135.912084
-0.020497,100,136.092409
-0.029582,100,138.393619
-0.020847,100,138.587283
-0.021098,100,138.79965
-0.020732,100,139.027086
-0.020594,100,139.245965
-0.018859,100,139.469749
-0.022585,100,139.690933
-0.021906,100,139.890492
-0.021677,100,140.097475
-0.025041,100,140.301114
-0.020497,100,140.514626
-0.017261,100,140.738251
-0.025779,100,141.45946
-0.0233,100,141.672844
-0.020403,100,141.878181
-0.021865,100,142.100672
-0.024273,100,142.322892
-0.020897,100,142.523037
-0.018232,100,142.724272
-0.022335,100,142.937329
-0.022623,100,143.168515
-0.021365,100,145.924297
-0.022468,100,146.119096
-0.018666,100,146.334596
-0.019376,100,146.553253
-0.021492,100,146.751373
-0.021631,100,146.936907
-0.022979,100,147.123811
-0.018623,100,147.337973
-0.020781,100,147.52609
-0.021386,100,147.716773
-0.0198,100,147.907741
-0.019276,100,148.767225
-0.020598,100,148.95033
-0.020505,100,149.126328
-0.022023,100,149.318924
-0.019419,100,149.547449
-0.022217,100,149.764473
-0.019472,100,149.987253
-0.023017,100,150.212852
-0.021926,100,150.44005
-0.020741,100,152.012532
-0.020958,100,152.203723
-0.021463,100,152.392886
-0.022153,100,152.599746
-0.018786,100,152.80819
-0.020933,100,153.012822
-0.019707,100,153.21138
-0.019031,100,153.410079
-0.017444,100,153.605779
-0.017742,100,153.809318
-0.021555,100,154.014935
-0.019534,100,154.74075
-0.017918,100,154.939909
-0.022881,100,155.144297
-0.020934,100,155.3613
-0.019944,100,155.578772
-0.020824,100,155.819089
-0.021688,100,156.04567
-0.024054,100,156.247319
-0.021577,100,156.446744
-0.018229,100,156.644962
-0.020398,100,159.145066
-0.021885,100,159.365332
-0.025267,100,159.588893
-0.027192,100,159.803923
-0.018669,100,160.019659
-0.021935,100,160.21922
-0.017399,100,160.520793
-0.022279,100,160.772388
-0.019538,100,160.989962
-0.019812,100,161.195065
-0.018159,100,161.939582
-0.021314,100,162.14161
-0.020469,100,162.342213
-0.015329,100,162.546117
-0.02086,100,162.743749
-0.02218,100,162.97805
-0.018704,100,163.181281
-0.025217,100,163.379155
-0.020951,100,163.585607
-0.018995,100,163.78192
-0.021247,100,166.092838
-0.018578,100,166.279783
-0.02069,100,166.473874
-0.020457,100,166.673227
-0.019859,100,166.853039
-0.024395,100,167.051652
-0.019329,100,167.253789
-0.023054,100,167.448946
-0.021414,100,167.642106
-0.022672,100,167.836503
-0.021723,100,168.566948
-0.019667,100,168.774655
-0.026193,100,168.976882
-0.019781,100,169.178221
-0.017502,100,169.374131
-0.020606,100,169.574845
-0.023243,100,169.775651
-0.022155,100,169.985781
-0.023099,100,170.194211
-0.019756,100,170.40336
-0.021721,100,170.63114
-0.021634,100,172.915276
-0.022,100,173.107997
-0.022146,100,173.301089
-0.019529,100,173.487133
-0.022933,100,173.681479
-0.025,100,173.870196
-0.022659,100,174.059207
-0.020783,100,174.24784
-0.019295,100,174.43522
-0.02071,100,175.199178
-0.020744,100,175.398164
-0.016409,100,175.599622
-0.023809,100,175.823431
-0.022739,100,176.049094
-0.017724,100,176.273757
-0.017357,100,176.502055
-0.019925,100,176.730194
-0.020127,100,177.029883
-0.019878,100,177.316985
-0.023024,100,177.592123
-0.022252,100,179.919881
-0.020405,100,180.103288
-0.022299,100,180.289196
-0.020229,100,180.479902
-0.018726,100,180.662922
-0.019504,100,180.848631
-0.01812,100,181.027878
-0.020122,100,181.215338
-0.021349,100,181.403248
-0.020818,100,182.175802
-0.018325,100,182.377094
-0.023317,100,181.869348
-0.023654,100,182.074258
-0.020643,100,182.277316
-0.022472,100,182.494318
-0.020421,100,182.737253
-0.02412,100,182.914913
-0.016771,100,183.074491
-0.017617,100,183.238024
-0.01812,100,183.463572
-0.019353,100,183.639789
-0.019745,100,185.663429
-0.019599,100,185.829661
-0.018723,100,185.975418
-0.023334,100,186.128903
-0.025733,100,186.272641
-0.019845,100,186.417487
-0.021026,100,186.583186
-0.022314,100,186.746372
-0.021155,100,187.40997
-0.023952,100,187.621974
-0.018721,100,187.79089
-0.01986,100,188.014038
-0.019276,100,188.200832
-0.020315,100,188.393148
-0.018303,100,188.589734
-0.019525,100,188.792213
-0.018092,100,189.034453
-0.018304,100,189.223818
-0.021735,100,189.413791
-0.018966,100,189.608676
-0.020056,100,192.192298
-0.018979,100,192.387903
-0.017895,100,192.57337
-0.020361,100,192.786426
-0.022246,100,192.999485
-0.019659,100,193.247267
-0.019005,100,193.472309
-0.019771,100,193.777087
-0.018299,100,194.722049
-0.023999,100,194.913109
-0.023854,100,195.127244
-0.026037,100,195.343475
-0.019024,100,195.584841
-0.020762,100,195.781536
-0.023949,100,195.971959
-0.020472,100,196.195289
-0.01765,100,196.421836
-0.024296,100,196.737878
-0.018233,100,196.973131
-0.020016,100,197.239727
-0.018942,100,199.556161
-0.024243,100,199.733101
-0.025722,100,199.885841
-0.021081,100,200.054896
-0.020004,100,200.207901
-0.023336,100,200.370735
-0.020038,100,200.520089
-0.018353,100,200.690709
-0.023424,100,201.351292
-0.021176,100,201.516588
-0.020346,100,201.681786
-0.019681,100,201.838943
-0.020928,100,201.992931
